# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
45.68.20.0/23,45.68.20.0,45.68.21.255,23,255.255.254.0,512
45.68.22.0/24,45.68.22.0,45.68.22.255,24,255.255.255.0,256
138.186.208.0/22,138.186.208.0,138.186.211.255,22,255.255.252.0,1024
168.121.84.0/22,168.121.84.0,168.121.87.255,22,255.255.252.0,1024
168.195.216.0/22,168.195.216.0,168.195.219.255,22,255.255.252.0,1024
186.179.128.0/17,186.179.128.0,186.179.255.255,17,255.255.128.0,32768
190.98.0.0/17,190.98.0.0,190.98.127.255,17,255.255.128.0,32768
200.1.156.0/22,200.1.156.0,200.1.159.255,22,255.255.252.0,1024
200.1.208.0/21,200.1.208.0,200.1.215.255,21,255.255.248.0,2048
200.2.160.0/19,200.2.160.0,200.2.191.255,19,255.255.224.0,8192
200.7.148.0/22,200.7.148.0,200.7.151.255,22,255.255.252.0,1024
